Text,Verse,Book  Chapter: Verse Number
God,Spirit,The First Book of Moses:  Called Genesis 1:2
Day,God,The First Book of Moses:  Called Genesis 1:5
Day,Night,The First Book of Moses:  Called Genesis 1:5
God,Night,The First Book of Moses:  Called Genesis 1:5
God,Heaven,The First Book of Moses:  Called Genesis 1:8
God,Seas,The First Book of Moses:  Called Genesis 1:10
Earth,Seas,The First Book of Moses:  Called Genesis 1:10
Earth,God,The First Book of Moses:  Called Genesis 1:10
Be,God,The First Book of Moses:  Called Genesis 1:22
God,Let,The First Book of Moses:  Called Genesis 1:26
Be,God,The First Book of Moses:  Called Genesis 1:28
Behold,God,The First Book of Moses:  Called Genesis 1:29
God,LORD,The First Book of Moses:  Called Genesis 2:4
God,LORD,The First Book of Moses:  Called Genesis 2:5
God,LORD,The First Book of Moses:  Called Genesis 2:7
Eden,LORD,The First Book of Moses:  Called Genesis 2:8
Eden,God,The First Book of Moses:  Called Genesis 2:8
God,LORD,The First Book of Moses:  Called Genesis 2:8
God,LORD,The First Book of Moses:  Called Genesis 2:9
Havilah,Pison,The First Book of Moses:  Called Genesis 2:11
Ethiopia,Gihon,The First Book of Moses:  Called Genesis 2:13
Assyria,Hiddekel,The First Book of Moses:  Called Genesis 2:14
Eden,LORD,The First Book of Moses:  Called Genesis 2:15
Eden,God,The First Book of Moses:  Called Genesis 2:15
God,LORD,The First Book of Moses:  Called Genesis 2:15
God,LORD,The First Book of Moses:  Called Genesis 2:16
God,LORD,The First Book of Moses:  Called Genesis 2:18
Adam,LORD,The First Book of Moses:  Called Genesis 2:19
God,LORD,The First Book of Moses:  Called Genesis 2:19
Adam,God,The First Book of Moses:  Called Genesis 2:19
Adam,LORD,The First Book of Moses:  Called Genesis 2:21
God,LORD,The First Book of Moses:  Called Genesis 2:21
Adam,God,The First Book of Moses:  Called Genesis 2:21
God,LORD,The First Book of Moses:  Called Genesis 2:22
Man,Woman,The First Book of Moses:  Called Genesis 2:23
Adam,Man,The First Book of Moses:  Called Genesis 2:23
Adam,Woman,The First Book of Moses:  Called Genesis 2:23
God,Yea,The First Book of Moses:  Called Genesis 3:1
LORD,Ye,The First Book of Moses:  Called Genesis 3:1
LORD,Yea,The First Book of Moses:  Called Genesis 3:1
God,LORD,The First Book of Moses:  Called Genesis 3:1
God,Ye,The First Book of Moses:  Called Genesis 3:1
Ye,Yea,The First Book of Moses:  Called Genesis 3:1
God,Ye,The First Book of Moses:  Called Genesis 3:3
Adam,LORD,The First Book of Moses:  Called Genesis 3:8
God,LORD,The First Book of Moses:  Called Genesis 3:8
Adam,God,The First Book of Moses:  Called Genesis 3:8
Adam,LORD,The First Book of Moses:  Called Genesis 3:9
Adam,Where,The First Book of Moses:  Called Genesis 3:9
God,Where,The First Book of Moses:  Called Genesis 3:9
Adam,God,The First Book of Moses:  Called Genesis 3:9
God,LORD,The First Book of Moses:  Called Genesis 3:9
LORD,Where,The First Book of Moses:  Called Genesis 3:9
God,LORD,The First Book of Moses:  Called Genesis 3:13
God,LORD,The First Book of Moses:  Called Genesis 3:14
Adam,Thou,The First Book of Moses:  Called Genesis 3:17
Adam,Eve,The First Book of Moses:  Called Genesis 3:20
Adam,LORD,The First Book of Moses:  Called Genesis 3:21
LORD,Unto,The First Book of Moses:  Called Genesis 3:21
Adam,Unto,The First Book of Moses:  Called Genesis 3:21
Adam,God,The First Book of Moses:  Called Genesis 3:21
God,Unto,The First Book of Moses:  Called Genesis 3:21
God,LORD,The First Book of Moses:  Called Genesis 3:21
Behold,God,The First Book of Moses:  Called Genesis 3:22
God,LORD,The First Book of Moses:  Called Genesis 3:22
Behold,LORD,The First Book of Moses:  Called Genesis 3:22
Eden,LORD,The First Book of Moses:  Called Genesis 3:23
Eden,God,The First Book of Moses:  Called Genesis 3:23
God,LORD,The First Book of Moses:  Called Genesis 3:23
Cherubims,Eden,The First Book of Moses:  Called Genesis 3:24
Adam,LORD,The First Book of Moses:  Called Genesis 4:1
Adam,Cain,The First Book of Moses:  Called Genesis 4:1
Eve,LORD,The First Book of Moses:  Called Genesis 4:1
Cain,LORD,The First Book of Moses:  Called Genesis 4:1
Cain,Eve,The First Book of Moses:  Called Genesis 4:1
Adam,Eve,The First Book of Moses:  Called Genesis 4:1
Abel,Cain,The First Book of Moses:  Called Genesis 4:2
Cain,LORD,The First Book of Moses:  Called Genesis 4:3
Abel,LORD,The First Book of Moses:  Called Genesis 4:4
Cain,LORD,The First Book of Moses:  Called Genesis 4:6
Abel,Cain,The First Book of Moses:  Called Genesis 4:8
Abel,Where,The First Book of Moses:  Called Genesis 4:9
Cain,LORD,The First Book of Moses:  Called Genesis 4:9
Abel,LORD,The First Book of Moses:  Called Genesis 4:9
LORD,Where,The First Book of Moses:  Called Genesis 4:9
Abel,Cain,The First Book of Moses:  Called Genesis 4:9
Cain,Where,The First Book of Moses:  Called Genesis 4:9
Cain,LORD,The First Book of Moses:  Called Genesis 4:13
Cain,My,The First Book of Moses:  Called Genesis 4:13
LORD,My,The First Book of Moses:  Called Genesis 4:13
LORD,Therefore,The First Book of Moses:  Called Genesis 4:15
Cain,LORD,The First Book of Moses:  Called Genesis 4:15
Cain,Therefore,The First Book of Moses:  Called Genesis 4:15
Eden,Nod,The First Book of Moses:  Called Genesis 4:16
Cain,Eden,The First Book of Moses:  Called Genesis 4:16
Cain,LORD,The First Book of Moses:  Called Genesis 4:16
Eden,LORD,The First Book of Moses:  Called Genesis 4:16
Cain,Nod,The First Book of Moses:  Called Genesis 4:16
LORD,Nod,The First Book of Moses:  Called Genesis 4:16
Cain,Enoch,The First Book of Moses:  Called Genesis 4:17
Irad,Mehujael,The First Book of Moses:  Called Genesis 4:18
Irad,Lamech,The First Book of Moses:  Called Genesis 4:18
Lamech,Mehujael,The First Book of Moses:  Called Genesis 4:18
Irad,Methusael,The First Book of Moses:  Called Genesis 4:18
Enoch,Lamech,The First Book of Moses:  Called Genesis 4:18
Enoch,Methusael,The First Book of Moses:  Called Genesis 4:18
Enoch,Irad,The First Book of Moses:  Called Genesis 4:18
Mehujael,Methusael,The First Book of Moses:  Called Genesis 4:18
Lamech,Methusael,The First Book of Moses:  Called Genesis 4:18
Enoch,Mehujael,The First Book of Moses:  Called Genesis 4:18
Adah,Lamech,The First Book of Moses:  Called Genesis 4:19
Lamech,Zillah,The First Book of Moses:  Called Genesis 4:19
Adah,Zillah,The First Book of Moses:  Called Genesis 4:19
Adah,Jabal,The First Book of Moses:  Called Genesis 4:20
Naamah,Zillah,The First Book of Moses:  Called Genesis 4:22
Tubalcain,Zillah,The First Book of Moses:  Called Genesis 4:22
Naamah,Tubalcain,The First Book of Moses:  Called Genesis 4:22
Adah,Lamech,The First Book of Moses:  Called Genesis 4:23
Lamech,Zillah,The First Book of Moses:  Called Genesis 4:23
Adah,Hear,The First Book of Moses:  Called Genesis 4:23
Hear,Zillah,The First Book of Moses:  Called Genesis 4:23
Adah,Zillah,The First Book of Moses:  Called Genesis 4:23
Hear,Lamech,The First Book of Moses:  Called Genesis 4:23
Cain,Lamech,The First Book of Moses:  Called Genesis 4:24
Adam,Cain,The First Book of Moses:  Called Genesis 4:25
Abel,Adam,The First Book of Moses:  Called Genesis 4:25
Abel,God,The First Book of Moses:  Called Genesis 4:25
Cain,God,The First Book of Moses:  Called Genesis 4:25
Adam,God,The First Book of Moses:  Called Genesis 4:25
Abel,Cain,The First Book of Moses:  Called Genesis 4:25
Cain,Seth,The First Book of Moses:  Called Genesis 4:25
Adam,Seth,The First Book of Moses:  Called Genesis 4:25
Abel,Seth,The First Book of Moses:  Called Genesis 4:25
