book,chapter,anger,disgust,fear,joy,sadness,openness,conscientiousness,extraversion,agreeableness,emotional_range,weight
Genesis,1,0.128616,0.518785,0.079972,0.565184,0.128538,0.973243,0.723854,0.296336,0.471373,0.737046,785
Genesis,2,0.085238,0.536859,0.106193,0.519304,0.24459,0.977655,0.510017,0.081031,0.263772,0.752331,625
Genesis,3,0.090942,0.605459,0.13525,0.502934,0.205213,0.988464,0.589354,0.067607,0.737383,0.745568,693
Genesis,4,0.17944,0.218145,0.158069,0.145551,0.279605,0.982172,0.317212,0.233268,0.622717,0.688626,588
Genesis,5,0.058619,0.160617,0.11571,0.590039,0.588828,0.694521,0.310211,0.184577,0.627308,0.241033,505
Genesis,6,0.466448,0.550203,0.087157,0.180476,0.251331,0.988973,0.740783,0.08202,0.49436,0.755718,565
Genesis,7,0.167425,0.24628,0.128832,0.176892,0.25443,0.977192,0.508989,0.155465,0.177806,0.701581,576
Genesis,8,0.198511,0.570132,0.098454,0.158899,0.250589,0.948504,0.677924,0.092983,0.283854,0.718019,576
Genesis,9,0.16978,0.577006,0.144957,0.454042,0.270733,0.989881,0.768312,0.160469,0.512578,0.706444,611
Genesis,10,0.159942,0.148572,0.144654,0.464427,0.267018,0.905219,0.314322,0.325392,0.148987,0.131121,492
Genesis,11,0.128275,0.199699,0.119106,0.213591,0.582284,0.834483,0.405912,0.125619,0.412245,0.227255,594
Genesis,12,0.146296,0.206221,0.175067,0.182885,0.262063,0.974309,0.7819,0.535479,0.944291,0.762695,531
Genesis,13,0.131199,0.431549,0.193882,0.157354,0.311118,0.969423,0.474817,0.249138,0.343455,0.659733,453
Genesis,14,0.141425,0.136297,0.11526,0.555177,0.229918,0.96972,0.778537,0.324111,0.327347,0.663403,597
Genesis,15,0.114159,0.165396,0.551828,0.201555,0.273716,0.970062,0.714977,0.031127,0.754666,0.687913,467
Genesis,16,0.126813,0.50603,0.172452,0.14128,0.274995,0.987815,0.212872,0.403167,0.945448,0.40385,412
Genesis,17,0.156723,0.239663,0.125531,0.556095,0.253539,0.975234,0.723355,0.286649,0.910799,0.703534,687
Genesis,18,0.627702,0.473106,0.129308,0.475248,0.526257,0.938757,0.774194,0.024198,0.895154,0.683838,852
Genesis,19,0.150633,0.210374,0.21642,0.139699,0.4976,0.948291,0.841592,0.259,0.803583,0.784783,1091
Genesis,20,0.137577,0.473343,0.608384,0.140326,0.556703,0.970423,0.632122,0.207115,0.923825,0.588116,503
Genesis,21,0.158115,0.468792,0.128717,0.48457,0.468962,0.966192,0.407215,0.227754,0.819632,0.586284,777
Genesis,22,0.173605,0.145415,0.156543,0.49176,0.246708,0.976137,0.722484,0.213378,0.790507,0.78283,617
Genesis,23,0.15628,0.222899,0.131876,0.099331,0.609077,0.958125,0.547383,0.197295,0.748336,0.613112,546
Genesis,24,0.150718,0.201589,0.148205,0.566177,0.258503,0.956623,0.745387,0.334005,0.899124,0.72564,1807
Genesis,25,0.148621,0.192785,0.131357,0.535297,0.520893,0.966025,0.367693,0.340465,0.62619,0.334138,661
Genesis,26,0.139269,0.181389,0.155228,0.55373,0.549975,0.970286,0.843008,0.290032,0.865774,0.742302,873
Genesis,27,0.145478,0.136653,0.138231,0.535945,0.551864,0.911695,0.510944,0.111274,0.950999,0.496308,1153
Genesis,28,0.133585,0.122153,0.151965,0.524885,0.233769,0.936227,0.774121,0.240253,0.855986,0.722206,614
