book,anger,disgust,fear,joy,sadness,openness,conscientiousness,extraversion,agreeableness,emotional_range
Genesis,0.165047674,0.312574885,0.199004939,0.36666352,0.423212082,0.942376051,0.680075991,0.249324798,0.755349634,0.63414496
Exodus,0.181019484,0.394609392,0.172695329,0.30187498,0.381617386,0.965863841,0.75342449,0.191007659,0.543968194,0.783167426
Leviticus,0.226426908,0.441403321,0.208735849,0.20167526,0.363435347,0.973718918,0.714551061,0.079319289,0.541936964,0.768927919
Numbers,0.173213217,0.405644209,0.135615941,0.25175432,0.39164334,0.936827934,0.694478211,0.160865709,0.523604891,0.711134929
Deuteronomy,0.228951686,0.360072611,0.341865651,0.351083576,0.384410428,0.962063782,0.734901318,0.136619946,0.700435486,0.814792736
Joshua,0.1497961,0.375693225,0.149286251,0.350628682,0.361605148,0.936169677,0.694812427,0.293094835,0.47855357,0.706390536
Judges,0.152748783,0.512159703,0.177551477,0.148565792,0.464356249,0.940128256,0.747538184,0.241706593,0.621989612,0.682279147
Ruth,0.152650613,0.419956098,0.135047215,0.246151842,0.456990079,0.946370164,0.684669227,0.354479278,0.894789239,0.64144856
1 Samuel,0.150949857,0.425859253,0.224526035,0.235104745,0.522913708,0.927287669,0.736194607,0.225971062,0.743886923,0.703070847
2 Samuel,0.16639239,0.348930662,0.12140377,0.26234589,0.515739498,0.923542604,0.68520808,0.215512287,0.692548579,0.671266362
1 Kings,0.188421014,0.403236482,0.145921281,0.266093352,0.450236629,0.951700287,0.717267067,0.214059751,0.586148048,0.753421536
2 Kings,0.214661247,0.387131118,0.162596269,0.186699592,0.475811764,0.948511001,0.757218797,0.153461181,0.513755908,0.760013768
1 Chronicles,0.165198164,0.353868776,0.175207705,0.32797595,0.335419214,0.919143849,0.534313989,0.294908719,0.381929468,0.491840532
2 Chronicles,0.189581212,0.365987811,0.194998644,0.362524825,0.427469743,0.946354586,0.75292708,0.25343669,0.488281974,0.739440925
Ezra,0.183538693,0.484708815,0.171279331,0.312995898,0.236338971,0.943394166,0.711954026,0.250751178,0.444619182,0.634847738
Nehemiah,0.170824812,0.373918614,0.208831446,0.377737598,0.340192441,0.922186831,0.675025932,0.230450046,0.445025194,0.636967618
Esther,0.210548989,0.436435502,0.273447135,0.452180939,0.251209028,0.940862483,0.864076122,0.309054519,0.562730337,0.858211562
Job,0.242180997,0.311000303,0.280370329,0.140633472,0.346738701,0.915893676,0.474144118,0.079647378,0.590784682,0.49934999
Psalm,0.347263202,0.210382464,0.068912279,0.22043231,0.150274372,0.907985205,0.648600961,0.195047208,0.730804633,0.634426521
