,book,anger,disgust,fear,joy,sadness,openness,conscientiousness,extraversion,agreeableness,emotional_range,n
1,Matthew,0.011421199,-0.120997998,-0.04044401,0.174358805,0.001021872,-0.126355432,-0.109343918,0.135237123,-0.058897847,-0.062422381,128
2,Luke,-0.004577176,-0.176780491,-0.086916901,0.116944464,0.029825828,-0.148985743,-0.136870269,0.107321673,-0.067396462,-0.078027094,115
3,John,-0.00522276,-0.181508992,0.016508621,0.230324704,-0.015557459,-0.093100575,0.055455942,0.197315748,-0.095409127,0.021945106,86
4,Psalms,-0.20681499,-0.029022182,0.099254694,0.283116919,0.320822823,-0.100892456,0.108019898,0.041179019,0.056969299,0.001222739,57
5,Philippians,0.041029396,0.009547925,-0.050093495,-0.062656348,0.059458233,-0.160153706,0.040368379,-0.030496974,-0.060210154,0.076889765,53
6,Ephesians,-0.010613471,-0.073768832,-0.01420047,-0.155697319,0.206979917,-0.111674464,0.006685222,-0.046697223,-0.131089381,-0.038938046,49
7,Isaiah,-0.011405103,-0.195199357,-0.060131358,0.216992872,-0.002496019,-0.130166126,0.014111234,0.076048106,0.091091533,-0.002802214,47
8,Mark,0.029123797,-0.193339083,-0.124222688,0.161445698,0.026400887,-0.144103325,-0.052747879,0.085300484,-0.046227349,-0.037740092,43
9,Acts,0.018203081,-0.229304487,-0.083570079,0.163579491,0.053693514,-0.149671861,-0.148750483,-0.020212542,-0.020066572,-0.069641641,39
10,Revelation,0.028582429,-0.192288602,-0.020297857,-0.014232528,0.070663658,-0.06644596,0.035609654,-0.028178079,-0.004487268,0.010189216,39
11,Romans,-0.073442636,-0.104004898,-0.02266353,0.023051426,0.108806059,-0.108644946,-0.057663258,0.083246355,-0.07020026,-0.046122499,34
12,1 Corinthians,0.054050379,-0.153335544,-0.016321628,0.131169524,-0.005464507,-0.083804246,0.03767349,0.153099558,-0.09089331,0.083013871,32
13,Genesis,0.00448759,-0.108640898,-0.031072523,0.076688813,0.078510922,-0.153253073,-0.044722925,-0.099059869,-0.054323059,-0.01922852,32
14,Exodus,0.016674734,-0.217002352,0.014548329,0.15798394,0.085741864,-0.139378537,-0.084589142,0.027942834,-0.02527186,-0.100359603,31
15,Hebrews,0.022063934,-0.203380257,-0.102060156,0.069713902,0.079135102,-0.113157596,-0.135529176,0.067376305,0.005905633,-0.060565946,31
16,Galatians,0.0061822,-0.221195461,-0.091174247,0.060509305,0.074638962,-0.142514009,0.010779921,0.191402954,-0.01404744,0.026467046,24
17,1 Timothy,-0.023656605,-0.173790799,0.078185273,-0.065850509,0.191548782,-0.129856831,0.07274551,0.076422175,0.034769066,0.055558771,21
18,1 Peter,0.06706313,-0.107843546,-0.216936989,0.00348063,0.260580196,-0.067691212,0.102215515,0.104778319,-0.157373129,0.028522393,19
19,James,0.043302509,-0.198177281,0.003517066,0.121097493,-0.011023421,-0.119577495,-0.081912194,0.085340337,0.028885782,-0.075446024,19
20,2 Corinthians,0.093630076,0.029350641,-0.101463506,-0.034467184,0.025849766,-0.121443864,-0.034918131,0.117007414,-0.055991231,0.083891624,18
21,Colossians,0.0458552,-0.271865455,0.046646675,-0.090100802,0.111854234,-0.108677747,-0.054176522,-0.038946512,-0.071401772,0.022195974,18
22,2 Timothy,0.04769384,-0.030339038,0.177126029,-0.157589487,-0.083977027,-0.111795539,0.043191547,0.095874237,-0.075066927,0.175767275,16
