chapter,anger,disgust,fear,joy,sadness,openness,conscientiousness,extraversion,agreeableness,emotional_range,weight
1,0.029573,0.289592,0.058911,0.402043,0.10118,0.933616,0.644173,0.394228,0.689347,0.78827,66
2,0.158825,0.121716,0.596773,0.495178,0.562059,0.906939,0.958836,0.083545,0.751787,0.730723,12409
3,0.17172,0.168174,0.140503,0.551595,0.525788,0.931124,0.966178,0.08551,0.80472,0.750182,7263
4,0.197324,0.436103,0.151921,0.508164,0.264843,0.910159,0.956084,0.113976,0.792432,0.722261,7366
5,0.185436,0.156782,0.581736,0.525501,0.488522,0.934029,0.95968,0.073909,0.747088,0.748444,5796
6,0.204418,0.128087,0.132207,0.15786,0.569832,0.942272,0.968064,0.044167,0.761698,0.712489,6417
7,0.169116,0.143361,0.511457,0.517944,0.552834,0.9115,0.973227,0.08821,0.854802,0.768203,7111
8,0.204424,0.129544,0.577573,0.17479,0.502441,0.907175,0.9669,0.06457,0.775431,0.72744,2614
9,0.188693,0.133025,0.689261,0.481704,0.544447,0.918911,0.954786,0.130354,0.705979,0.71578,5212
10,0.176455,0.134996,0.126793,0.550884,0.56489,0.90699,0.979108,0.029393,0.827885,0.751601,3727
11,0.192263,0.131811,0.15297,0.492943,0.542514,0.925468,0.963831,0.062005,0.871549,0.751549,4158
12,0.178664,0.127921,0.11919,0.539487,0.480262,0.913346,0.977018,0.07847,0.949138,0.790232,3988
13,0.172895,0.137197,0.158147,0.454634,0.540457,0.947802,0.909949,0.063836,0.565486,0.694952,1816
14,0.186623,0.176699,0.131756,0.144347,0.338791,0.904971,0.972439,0.07236,0.80432,0.723013,1846
15,0.212945,0.137598,0.144915,0.149491,0.567319,0.927688,0.946853,0.104687,0.792869,0.674728,1525
16,0.153999,0.468272,0.122466,0.537268,0.531863,0.935458,0.9644,0.105263,0.704564,0.723457,3895
17,0.185776,0.169687,0.136316,0.540151,0.55272,0.928842,0.971451,0.089359,0.82675,0.819275,3478
18,0.489748,0.155626,0.13608,0.456866,0.57672,0.91746,0.930096,0.045435,0.792479,0.704569,3501
19,0.160127,0.112332,0.484211,0.487805,0.576886,0.920372,0.900252,0.056466,0.925103,0.663918,2163
20,0.203109,0.140505,0.588966,0.522483,0.513557,0.9062,0.949196,0.05665,0.844946,0.764272,3045
21,0.206231,0.141949,0.158824,0.13642,0.573189,0.889007,0.983402,0.049828,0.873512,0.773058,2613
22,0.491199,0.172542,0.164306,0.564524,0.523304,0.934579,0.962341,0.142714,0.706895,0.737528,2726
23,0.175149,0.198753,0.114329,0.50721,0.547652,0.918333,0.972415,0.068188,0.826867,0.68594,2287
24,0.495051,0.512498,0.138776,0.140716,0.538459,0.931204,0.952767,0.181479,0.645326,0.772536,2734
25,0.481825,0.132178,0.144948,0.579142,0.490654,0.923598,0.958371,0.101111,0.749189,0.752202,1968
26,0.497455,0.171196,0.661465,0.121394,0.5476,0.915261,0.95717,0.049961,0.787401,0.708568,2863
