John 3:1-21,"('New Birth', 'Approach', 'Abandon')",Baptist," ABANDONED At BIRTH-VI--John 3:1-21 Concessions For New Birth Attention: Training for a S.W.A.T.(Special Weapons & Tactics) or police assault team. Anticipation needed to meet worst-case scenario. On the day you begin your S.W.A.T. Team service, Everything you ever held to before concerning being a free citizen, must be let go of. Now you are protecting other free citizens. You protect others with your new outlook, trusts, knowledge, & equipping. You see the same things differently, from a different perspective. You notice nuances which you by-passed before. You enter situations you would never have entered previously. You recognize life situations, living patterns, personal & group behaviors, & body language that are all potentially life threatening to you & your mission. You Abandon the way you lived before, opening yourself to new dangers. Likewise, when you were saved/born again/born from above, you abandoned everything you held to in the flesh. You now strive for what God wants you to be & have & do. You Abandon the way you lived before, opening yourself to new dangers. Unless you surrender your hold on your previous life & way of living, you withhold God's gift to you of the Kingdom of Heaven. In God's scheme of life for mankind, New Birth--being born again-- is the only means of...growing close to God, finding & employing His power, being faithful in service, finding God's purpose for your life, becoming dedicated to His direction at every moment. Jesus' encounter with Nicodemus yielded the essentials of being born again. Being born again is essential to God's plan. What is essential to achieve new birth? What is essential to be born again? 6 things abandoned at birth. We have already found that Those born from above, Abandon their previous & limiting... 1. POSITION(:1-2) 2. WISDOM(:3-7) 3. DIRECTION(:8) 4. ACCEPTANCE(:9-13) Accept Jesus & His testimony 5. BELIEF(:14-18) 6--Those born from above, Abandon their previous & limiting... APPROACH(:19-21) Explanation: (:19-21)Participation/Light :19--""And this is the condemnation, that the light has come into the world, & men loved darkness rather than light, because their deeds were evil."" The reality of the condemnation which hangs over an unbelieving person's head is clarified outright here. The pure fact remains for the unbeliever that ""the light"" has entered the creation of God, in the open presence of everyone(1:4-10). Though the Light was both physically & spiritually in men's presence(observable by them), these same men(generally) ""loved"" & thus preferred their ""darkness"" over & above the light(1:5, 10-11) made available to them. Unbelievers exercised the free-will granted to them negatively rather than for their benefit. Their poor choices being made simply ""because"" the very things that they enter into & accomplish were ""deeds"" of ""evil."" ""Light""--fwv--from an obsolete faw(to shine or make manifest, especially by rays; Luminousness(in the widest application, nat. or artificial, abstract or concrete, literal or figurative)."
John 3:1-21,"('New Birth', 'Approach', 'Forsake', 'Abandon')",Baptist," ABANDONED At BIRTH-VI--John 3:1-21 Concessions For New Birth Attention: Training for a S.W.A.T.(Special Weapons & Tactics) or police assault team. Anticipation needed to meet worst-case scenario. On the day you begin your S.W.A.T. Team service, Everything you ever held to before concerning being a free citizen, must be let go of. Now you are protecting other free citizens. You protect others with your new outlook, trusts, knowledge, & equipping. You see the same things differently, from a different perspective. You notice nuances which you by-passed before. You enter situations you would never have entered previously. You recognize life situations, living patterns, personal & group behaviors, & body language that are all potentially life threatening to you & your mission. You Abandon the way you lived before, opening yourself to new dangers. Likewise, when you were saved/born again/born from above, you abandoned everything you held to in the flesh. You now strive for what God wants you to be & have & do. You Abandon the way you lived before, opening yourself to new dangers. Unless you surrender your hold on your previous life & way of living, you withhold God's gift to you of the Kingdom of Heaven. In God's scheme of life for mankind, New Birth--being born again-- is the only means of...growing close to God, finding & employing His power, being faithful in service, finding God's purpose for your life, becoming dedicated to His direction at every moment. Jesus' encounter with Nicodemus yielded the essentials of being born again. Being born again is essential to God's plan. What is essential to achieve new birth? What is essential to be born again? 6 things abandoned at birth. We have already found that Those born from above, Abandon their previous & limiting... 1. POSITION(:1-2) 2. WISDOM(:3-7) 3. DIRECTION(:8) 4. ACCEPTANCE(:9-13) Accept Jesus & His testimony 5. BELIEF(:14-18) 6--Those born from above, Abandon their previous & limiting... APPROACH(:19-21) Explanation: (:19-21)Participation/Light :19--""And this is the condemnation, that the light has come into the world, & men loved darkness rather than light, because their deeds were evil."" The reality of the condemnation which hangs over an unbelieving person's head is clarified outright here. The pure fact remains for the unbeliever that ""the light"" has entered the creation of God, in the open presence of everyone(1:4-10). Though the Light was both physically & spiritually in men's presence(observable by them), these same men(generally) ""loved"" & thus preferred their ""darkness"" over & above the light(1:5, 10-11) made available to them. Unbelievers exercised the free-will granted to them negatively rather than for their benefit. Their poor choices being made simply ""because"" the very things that they enter into & accomplish were ""deeds"" of ""evil."" ""Light""--fwv--from an obsolete faw(to shine or make manifest, especially by rays; Luminousness(in the widest application, nat. or artificial, abstract or concrete, literal or figurative)."
Ephesians 5:15-21,"('Uncompromising Faith', 'Telling', 'Uncompromising')",Baptist," ALWAYS For ALL THINGS--III--Ephesians 5:15-21 OR--A Distinctive Walk Attention: Plants with a distinctive growth habit--Cotton versus Millet versus Wheat versus Soybeans versus Peanuts versus corn, etc... Plants with a distinctive growth habit--Carnivorous--I like to look for plants on any trip I go on/I look for unusual patterns--Flowers/Colors/Shapes/Stands The Catesby's(Pine) Lilies(Lilium catesbaei) just past the prison/The Drosera Filiformis(Threadleaf Sundew) just before the prison/The Utricularia inflata(bladderwort) in Tate's Hell/Redbud trees(Cercis canadensis) in the early spring along the I-85 in NC north & south of Charlotte. South Georgia--Fire ants vs. indeginous spp. of ants--Huge Mounds--Stings can kill--Command respect. Christians all have a life-""walk"" that distinguishes them from the walk of the world. Paul exhorted the Ephesian church toward a telling/distinctive/indicative walk. God's people have a(n) telling/distinctive/indicative walk. What is telling/distinctive/indicative about the walk of God's people? *When is the walk of God's people indicative? 7 indicators of a Christian walk. We have seen that A thankful/telling walk is... 1. An ACCURATE WALK(:15) 2. A REDEMPTIVE WALK(:16) 3. An INSIGHTFUL WALK(:17) 4--A thankful/telling walk is... An UNCOMPROMISING WALK(:18) Explanation:(:18)Filled/Unsquandered :18--""And do not be drunk with wine, in which is dissipation; but be filled with the Spirit,"" A practical admonition associated with circumspect Christian living is a personal refusal to be actively reckless with that faith. One obvious example of spiritual recklessness(""dissipation"") is the ""drunkenness"" associated with the misuse of ""wine."" ""In"" such a misuse of ""wine"" as ""drunkenness,"" ""dissipation""--Lit.='lack of salvation'--is embodied. ""Drunkenness"" is therefore, not a disease, as some would have us believe. It is a sin against self, man, & God. A fleshly attempt to placate one's low sense of self-worth. Dissipation ""is a waste of resources that should be submitted to Jesus.""--David Guzik In fact, rather than being 'filled' with ""wine,"" Christians are to ""be filled with the Spirit"" of God. God's people are not to be filled with any mind-altering or mood-changing physical substance. ""The carnal contrast to being filled with the Holy Spirit is being drunk.""--David Guzik Some individuals & religious groups think themselves closer to God if they get high... --Some American Indians use peyote for religious reasons. --Many religions prioritize getting high, believing that it puts one in touch with the spiritual realm...That may be so...the Satanic spiritual realm! They may seek a frenzied, hysterical, &/or hallucinogenic state wherein they claim to be closer to god. --Stoners smoke weed & feel 'closer to god,' though they are not. *Whereas the Christian's only means of 'mind-alteration or mood-change' is by personal conviction & repentant awakening thru the substantive presence of God thru the Spirit Himself! Acts 2:1-18--""When the Day of Pentecost had fully come, they were all with one accord in one place. And suddenly there came a sound from heaven, as of a rushing mighty wind, & it filled the whole house where they were sitting. Then there appeared to them divided tongues, as of fire, & one sat upon each of them. And they were all filled with the Holy Spirit & began to speak with other tongues, as the Spirit gave them utterance. And there were dwelling in Jerusalem Jews, devout men, from every nation under heaven. And when this sound occurred, the multitude came together, & were confused, because everyone heard them speak in his own language. Then they were all amazed & marveled, saying to one another, ""Look, are not all these who speak Galileans? And how is it that we hear, each in our own language in which we were born? Parthians & Medes & Elamites, those dwelling in Mesopotamia, Judea & Cappadocia, Pontus & Asia, ""Phrygia & Pamphylia, Egypt & the parts of Libya adjoining Cyrene, visitors from Rome, both Jews & proselytes, Cretans & Arabs--we hear them speaking in our own tongues the wonderful works of God."" So they were all amazed & perplexed, saying to one another, ""Whatever could this mean?"" Others mocking said, ""They are full of new wine."" But Peter, standing up with the eleven, raised his voice & said to them, ""Men of Judea & all who dwell in Jerusalem, let this be known to you, & heed my words. For these are not drunk, as you suppose, since it is only the third hour of the day. ""But this is what was spoken by the prophet Joel: 'And it shall come to pass in the last days, says God, That I will pour out of My Spirit on all flesh; Your sons & your daughters shall prophesy, Your young men shall see visions, Your old men shall dream dreams. And on My menservants & on My maidservants I will pour out My Spirit in those days; And they shall prophesy."""
Romans 3:21-26,"('Faith', 'Justification', 'Righteousness', 'Justify')",Presbyterian/Reformed," Romans 3:21-26 The Doctrine on Which the Church Stands or Falls 1/1/17 D. Marion Clark Introduction Who knows what a year will bring? Five hundred years ago, an obscure monk had no idea that he would be used by God to bring about the most momentous impact on the church since it became the official religion of the Roman Empire, 1,200 hundred years earlier. On October 31, All Hallows' Eve, the Augustinian monk and professor at the university in Wittenberg nailed 95 theses on the door of the church. They were written in Latin for the purpose of debate among church scholars. They were written to address a specific corrupt practice - that of selling indulgences, which were being sold to raise money for the building of St. Peter's basilica in Rome. The lead marketer had gone beyond the bounds of integrity, promising immediate release of relatives in purgatory to any who put money in the coffers. Other than scholarly debate with colleagues, Luther expected little reaction. Instead, someone took down the document, translated it into the common language, and distributed it throughout the land. It was the original social media viral event, and so began the Reformation. That was the beginning of the chain of events which culminated in the break within the Roman Catholic Church and birthed the Protestant Church. But the selling of indulgences was not at the heart of what led to the division in the church. What became the central issue and the central doctrine over which the two branches of the Christian faith remain divided is that of justification. What does it mean to be justified before God and how does one become justified - it is the understanding of that doctrine which divides us to this day. It is this doctrine that the Reformers proclaimed that the Church stands or falls. For the next five weeks we will take a look at five doctrines that are identified as the central tenets of the Protestant faith. They are referred to as the five soli, Sola is Latin for ""sole"" or ""only."" They are, in the order we will treat them: sola fide, faith alone; soli gratia, grace alone; solus Christus, Christ alone; sola scriptura, Scripture alone; and soli Deo gloria, for God's glory alone. The doctrine that underlies the first three - faith, grace, and Christ alone - is that of justification. Let's take time to understand it and what it means for us. Our Scripture text provides an excellent study for the doctrine. Text But now the righteousness of God has been manifested apart from the law, although the Law and the Prophets bear witness to it-- 22 the righteousness of God through faith in Jesus Christ for all who believe. For there is no distinction: 23 for all have sinned and fall short of the glory of God, 24 and are justified by his grace as a gift, through the redemption that is in Christ Jesus, 25 whom God put forward as a propitiation by his blood, to be received by faith. This was to show God's righteousness, because in his divine forbearance he had passed over former sins. 26 It was to show his righteousness at the present time, so that he might be just and the justifier of the one who has faith in Jesus."
Acts 2:42-47,"('Loneliness', 'Isolation', 'Small Groups', 'Friendship General')",Christian/Church Of Christ," 1. Quiet Desperation of Loneliness Sophie and Shirley, two elderly widows in a Florida adult community, are curious about the latest arrival in their building -- a quiet, nice looking gentleman who keeps to himself. Shirley says, ""Sophie, you know I'm shy. Why don't you go over to him at the pool and find out a little about him. He looks so lonely."" Sophie agrees, and later that day at the pool, she walks up to him and says, ""Excuse me, mister. I hope I'm not prying, but my friend and I were wondering why you looked so lonely."" ""Of course I'm lonely, he says, ""I've spent the past 20 years in prison."" ""You're kidding! What for?"" ""For killing my third wife. I strangled her."" ""What happened to your second wife?"" ""I shot her."" ""And, if I may ask, your first wife?"" ""We had a fight and she fell off a bridge."" ""Oh my,"" says Sophie. Then turning to her friend on the other side of the pool, she yells, ""You're never going to believe this, Shirley. He's single."" Have you ever been so hungry for a friend that you made a poor decision? Believe it or not, like it or not our need for friends is one of our most urgent needs. Sometimes the need overwhelms us so much that we are willing to do anything to feel loved, from going home with a stranger to striking up conversations with telemarketers. We live in an increasingly isolating society and we are willing to do almost anything to not feel lonely. Today Show, December 27, 2016: Match.com Scam: Believing in long-distance love, Betty Davies fell victim to a romance scam on Match.com. Davies wired a ""love interest"" scammer her life savings, a whopping $270,000, which left her with nothing. She thought the person with whom she was corresponding was legitimately interested in her. She believed his phony stories and financial requests in spite of something telling her it was a scam until she had given him all of her savings. Proverbs 12:26 The righteous choose their friends carefully, but the way of the wicked leads them astray. Sometimes it appears that we will do anything to feel accepted. As Americans we are among the loneliest people in the world. As a culture we are radically much different than we were a generation ago or even a decade ago. ATM machines allow us to do our banking without talking to anyone. In fact most banks have the option of convenience with online Internet banking. Incredibly convenient but there is a loss of personal touch. Walk into almost any large store and they provide you with the option of self check-out system. Or gas up at the station by paying at the pump. Social Media; Internet Payments Over the past few decades we have become more isolationist as a society. Sure things have gotten more convenient but many Americans say that it has also gotten lonelier. 2. Author and preacher, Randy Frazee writes ""isolation is the second major obstacle to connecting in true community."" He says this flows out of the first main obstacle which is ""a culture of individualism"" which breeds the sickness of loneliness. 3. God knew our universal need for encouragement and friendship - Acts 2.42-47"
Psalms 38:5-8,"('David', 'Depression', 'Weary', 'Sadness')",Pentecostal," THE HALL OF FAITH Hebrews 11:29-12:2 1. In the earlier verses of Hebrews 11, the 'Hall of Faith' (as I have called it) spoke of faithful individuals, ranging from Abel through Abraham to Moses. Now we have a shift to the plural, emphasising the collective faith of all involved. ""By faith THEY passed through the sea"" (Hebrews 11:29). 'Show me your faith without your works,' says James, 'and I will show you my faith by my works' (James 2:18). Without the practical application of faith in their lives, the children of Israel would still be standing there beside the Red Sea when the Egyptians caught up with them. The order of the day, 'Stand still and see the salvation of the LORD' was closely followed by, 'Move forward' (Exodus 14:13-15). Not only does the obedience of faith (Hebrews 11:8) belong to the faithful, but those without faith were ""swallowed up"" by the sea (Hebrews 11:29). A generation later the walls of Jericho, symbol of Canaanite strength, came a-tumbling down - but only after the Israelites had faithfully, and obediently, walked around them for seven days (Hebrews 11:30). 2. Returning to the roll-call of individuals, we are reminded that ""the faith"" is not the sole preserve of one group of people. Rahab was a lonely believer in a condemned community (Joshua 2:9-11), but did not fail to put her faith into action (Hebrews 11:31). Furthermore, God's care of His covenant people did not necessarily pick out the most deserving, nor even the most likely (Hebrews 11:32). In the generalities that follow (Hebrews 11:33-38), we are able to recognise certain people from the Old Testament, and from the 400 years between the Hebrew Bible and the Christian New Testament. There are two main groups: those who persevered and overcame (Hebrews 11:33-35); and those who suffered and (in some instances) were martyred (Hebrews 11:35-38). It is no coincidence, coming so soon as it does after Hebrews 11:36-38, that the Greek word for ""witness"" (Hebrews 12:1) gives us the English word for 'martyr'. The list is left unfinished: it is unfinished yet (Hebrews 11:39-40). Yet what remains is the variety of people and circumstances through which the LORD has fulfilled, and is fulfilling His purposes. We are not clones or drones, and our callings may vary, but we are all part of the same team. 3. Hebrews 12 begins with a doubly strengthened form of the particle, usually translated ""therefore"" (for that reason), or more correctly ""wherefore"" (as a result of which). This is so that we do not miss the connection with what has gone before: ""since"" we are surrounded by so great a cloud of witnesses, ""consequently..."" There follows an exhortation based on the roll-call of the faithful in the previous chapter. This great throng is envisaged as ""encompassing"" us, surrounding us like the environs of a district, enclosing us like a crowd in a stadium. Yet they are not just on the touchline, cheering us on, but very much a part of us (Hebrews 11:40). They are called ""witnesses"" not because they are armchair spectators, but fellow-participants in the mutual and collective ""race"" (Hebrews 12:1)."
Galatians 4:21-31,"('Grace', 'Law', 'Promise', 'Legalism')",Evangelical Free," Mary Hickey talks about the time when she was expecting her first baby. Then, a six-year-old neighbor girl was particularly curious. She wanted to see the baby furniture and hear her list of possible names. When she asked where the baby was, Mary was a walking show-and-tell even at four months. But then the six-year-old asked Mary the question that probably had been foremost in her mind: ""How did the baby get in there?"" Mary replied, ""I think you'd better ask your mother about that."" ""Oh, I tried that,"" the little girl confessed. ""Nobody in my family knows!"" (Mary L. Hickey, Kirkersville, Ohio, Christian Reader, ""Kids of the Kingdom""; www.PreachingToday.com) It's certainly important for young people to know, at the appropriate time, the facts of their physical birth. But it's even more important for us followers of Christ to know the facts of our spiritual birth. It's important, because that determines whether we live our lives in freedom or in bondage. So, if you have your Bibles, I invite you to turn with me to Galatians 4, Galatians 4, where God's Word presents the facts of our spiritual birth. Galatians 4:21-23 Tell me, you who desire to be under the law, do you not listen to the law? For it is written that Abraham had two sons, one by a slave woman and one by a free woman. But the son of the slave was born according to the flesh, while the son of the free woman was born through promise. (ESV) The first book of the Law, the book of Genesis, makes it very clear that Abraham had two children with two different mothers. One was a slave. Her name was Hagar, and she gave birth to Ishmael. The other mother was free. Her name was Sarah, and she gave birth to Isaac. Now, in Bible days, the status of the mother determined the status of her children. If the mother was a slave, then her children were slaves, even if their father was a king. On the other hand, if the mother was free, then her children were free, even if their father was a slave. So, spiritually speaking, who is YOUR mother? Is she a slave or is she free? Abraham had two different children with two different mother, and these two children had two different methods of birth. They were born in two different ways. Hagar, the slave's son was born ""according to the flesh"" (vs.23). And Sarah, the free-woman's son was born ""through promise,"" i.e., through a miracle. God had promised Abraham and Sarah many descendants, as many as the stars in the heavens, but nothing was happening over the years. Abraham and Sarah were growing old, and still they didn't have even one son, much less ""many descendants."" So when Abraham turned 85 years old and Sarah turned 75, they decided to help God out. By their own efforts, in their own flesh, they were going to secure God's promised blessing. Sarah gave her slave-girl, Hagar, to Abraham as his second wife, and they had a son in the ordinary way. Ishmael was born according to the flesh, as a result of a man trying to get God's promised blessing through his own human efforts."
Mark 11:25,"('Forgiveness', 'Forgiveness For Others', 'Mercy Of God', 'Love  For Enemies')",Pentecostal," Mark 2:7-11 (Wey) ""Why does this man use such words?"" they said; ""He is blaspheming. Who can pardon sins but One--that is, God?""... Jesus asked them, ""Which is easier?--to say to this paralytic, 'Your sins are pardoned,' or to say, 'Rise, take up your mat, and walk?' But that you may know that the Son of Man has authority on earth to pardon sins""--He turned to the paralytic, and said, ""To you I say, 'Rise, take up your mat and go home.'"" Conditional Forgiveness Mat 6:12 (TEB) ""Forgive us the wrongs that we have done, as we forgive the wrongs others have done us."" Luke 6:37 (NIV) ""...Forgive, and you will be forgiven."" Mat 6:14-15 (NIV) ""For if you forgive men when they sin against you, your heavenly Father will also forgive you. But, if you do not forgive men their sins, your Father will not forgive your sins."" "" Assuming the teaching of Mat 6:15 and other such verses is understood and acknowledged as true, rather than emphasize the need to forgive in this Bible study--i.e., the law--we will instead look at five cheap substitutes or impediments to forgiveness, and then at what real forgiveness is, how to attain it, and how to remain in it. And we may find that forgiveness is more difficult, and more easy, than we first thought. Sin Is Only Human... "" What is natural to ""the flesh"" (the carnal nature) when we have been hurt or abused or insulted is to strike back, to plot revenge, or to simmer in bitterness. This is ""only human"". But God requires forgiveness, else He will NOT forgive us. If we are unwilling--or unable--to forgive, then there is no use asking God for what He has told us He will not give. For believers, dealing with the sin of unforgiveness is first priority. Mark 11:25 (NIV) ""And when you stand praying, if you hold anything against anyone, forgive him, so that your Father in heaven may forgive you your sins."" "" As a way to test the veracity of the following points, let us consider forgiveness in the most radical sense we can. Think of something truly wicked that has been done to you or someone you love, not by accident or error but deliberately and with malice--where you have come right up against evil and the pain caused by it in your own emotions. 1) What Forgiveness Is Not: Play Acting For Show... "" Remember when as a child you were forced by some adult to ""forgive"" someone who was first forced to ""say sorry"" to you? Is this really repentance by the perpetrator... or forgiveness by the victim? Well, perhaps so--in a few rare cases. But let us be honest and acknowledge that this charade by children is more often a temporary cessation of hostilities for the sake of the grown-ups, with the full intent to do more of the same violence (and not get caught) and/or get revenge later--when beyond the adult's watchful eye. "" Adults force children through this ritual because strife in a family or group of kids is an unbearable pain; and they want to teach. Play-acting does give at least a temporary reprieve. But God's pain is more acute when He sees our strife with each other, and His solution aims a little deeper than mere words or mimicry or delay or coating over. For He is aiming not at hypocritical play-acting, but at truth from the inside out."
James 4:7,"('Fornicacion', 'Temptation And Sin', 'Sin And Evil', 'Sexual Desire')",Pentecostal," Our response to Satan's lies (Eph 2:8-9; 1 John 4:1; James 4:7): "" We are to submit to God's will (2 Cor. 11:3, 14-15). Satan's ways look good and appealing, but God's way is the way that is best; Satan's way is death. It is better to be poor and honest than rich and dishonest! "" We are to obey God's will (2 Tim. 3:16). This is our sure-fire response to temptation, just as our Lord used! "" We are to focus on the Cross (John 14:6). We are to ignore the human standards, remember that Jesus died for us, and know that no sin is too big for Him to deal with and forgive. No matter what we have gone through, He is there for us, loving us. Satan wants us to diminish the cross by adding to it with penance; Christ wants us to repent! "" We need to commit to God's Purpose (1 Timothy 4:1-3; Luke 8:11-12; John 11:25-26), not our will and dreams and aspirations, but need totally to surrender to Christ all of our plans and desires no matter where it takes us. "" Remember Satan's pride brought him down (How is your pride doing?) to the lowest of levels, and he is certain of his fate. His current ambition is to deceive as many of humanity as possible, to share with him in his fate. "" God gives all of the armor we need to defend ourselves (2 Cor. 10:4). So, we are to trust Him and use Him and His gifts and tools! We are to have them on and be holding them, and using them, especially militant prayer! It is our responsibility to have the armor of God on and to be ready to be attacked. If we are watchful and prepared, then we are ready for the attack of the devil, his demons, and those fiery darts. We may not all know how to attack with the Sword of the Spirit, which is why we have the rest of the armor. If we are not ready to properly use the Sword of the Spirit, then we need to do as II Timothy 2:15 calls us to do: ""Study to show thyself approved unto God, a workman that needeth not to be ashamed, rightly dividing the word of truth."" When we have all of the gear of the armor, then we are to, ""With this in mind, be alert and always keep on praying for all the saints"" (Eph 6:18)"
2 Corinthians 10:3-5,"('Heart', 'Mouth', 'Heart  Focus', 'Carnal Mind', 'Tongue Is A Fire')",Pentecostal," YOUR MIND. The devil loves to put thoughts into your mind. You can be born-again and heaven-bound, but if you have wrong thoughts, your effectiveness on earth is greatly diminished. We must war against thoughts that don't agree with the truth. Analyze your thoughts. Just say to yourself, ""Hey, thoughts! Where did you come from?"" If it's a thought of pride, fear, unbelief, lust depression, or condemnation, it needs to be cast down. That's something you have to do. Refuse to dwell on it. Turn your mind to God and make it agree with His Word. (2 Cor. 10:3-5) YOUR HEART. In this case, your ""heart"" means your attitudes and emotions. Wrong attitudes are killers. In Ephesians 4:27, we learn that as Christians we give opportunity to the devil if we don't deal with our wrong attitudes. Arrogant, rebellious, unforgiving, and contentious attitudes open up a door for the enemy to enter our life, marriage, church, nation, and world. The devil only has access to the world through people's sin and selfishness. Jesus defeated every demonic power on the cross 2,000 years ago - but Satan is still active to the exact degree people allow him to be. Sinners are not the only ones allowing him to work. Christians allow him to work when we don't deal with our wrong attitudes. Ephesians 4:26 tells us, ""Do not let the sun go down on your anger."" So we must deal with any wrong attitudes on a regular basis - like taking a shower or brushing our teeth. It's something we must do. We ""put off,"" the old man and ""put on"" the new man. That keeps the devil shut down. Proverbs 4:23 says, ""Keep your heart with all diligence..."" YOUR MOUTH. The mouth is a powerful instrument and the devil knows it. Our mouth has spiritual power for either good or evil. The same mouth can pronounce a blessing or a curse. (Jas. 3:10) Our words can be a vehicle for the human spirit, the Holy Spirit, or an evil spirit. The enemy loves to inspire us to speak unbelief, slander, gossip, and hurtful, harsh sarcasm. Many of us carry wounds from things said to us years ago. Don't let the devil bring curses through your mouth. Think! Pray what David prayed in Psalm 141:3, ""Set a guard, O Lord, over my mouth; keep watch over the door of my lips."""
