Verse Number, Verse Text
1,I Laud Agni the chosen Priest God minister of sacrifice 
2,Worthy is Agni to be praised by living as by ancient seers. 
3,Through Agni man obtaineth wealth yea plenty waxing day by day Most rich in heroes glorious. 
4,Agni the perfect sacrifice which thou encompassest about Verily goeth to the Gods. 
5,May Agni sapient-minded Priest truthful most gloriously great The God come hither with the Gods. 
6,Whatever blessing Agni thou wilt grant unto thy worshipper 
7,To thee dispeller of the night O Agni day by day with prayer Bringing thee reverence we come 
8,Ruler of sacrifices guard of Law eternal radiant One 
9,Be to us easy of approach even as a father to his son: 
1,BEAUTIFUL Vayu come for thee these Soma drops have been prepared: Drink of them hearken to our call. 
2,Knowing the days with Soma juice poured forth the singers glorify Thee Vayu with their hymns of praise. 
3,Vayu thy penetrating stream goes forth unto the worshipper Far-spreading for the Soma draught. 
4,These Indra-Vayu have been shed; come for our offered dainties' sake: The drops are yearning for you both. 
5,Well do ye mark libations ye Vayu and Indra rich in spoil So come ye swiftly hitherward. 
6,Vayu and Indra come to what the Soma presser hath prepared: 
7,Mitra of holy strength I call and foe-destroying Varuna 
8,Mitra and Varuna through Law lovers and cherishers of Law 
9,Our Sages Mitra-Varuna wide dominion strong by birth. 
1,YE Asvins rich in treasure Lords of splendour having nimble hands 
2,Ye Asvins rich in wondrous deeds ye heroes worthy of our praise 
3,Nisatyas wonder-workers yours arc these libations with dipt grass: 
4,O Indra marvellously bright come these libations long for thee 
5,Urged by the holy singer sped by song come Indra to the prayers 
6,Approach O Indra hasting thee Lord of Bay Horses to the prayers. 
7,Ye Visvedevas who protect reward and cherish men approach Your worshipper's drink-offering. 
8,Ye Visvedevas swift at work come hither quickly to the draught. 
9,The Visvedevas changing shape like serpents fearless void of guile 
10,Wealthy in spoil enriched with hymns may bright Sarsavad desire 
1,1 Inciter of all pleasant songs inspirer o all gracious thought 
12,Sarasvati the mighty flood- she with be light illuminates She brightens every pi ous thought. 
1,As a good cow to him who milks we call the doer of fair deeds 
2,Come thou to our libations drink of Soma; Soma-drinker thou! 
3,So may we be acquainted with thine innermost benevolence: 
4,Go to the wise unconquered One ask thou of Indra skilled in song. 
5,Whether the men who mock us say Depart unto another place 
6,Or whether God of wondrous deeds all our true people call us blest. 
7,Unto the swift One bring the swift man-cheering grace of sacrifice 
8,Thou Satakratu drankest this and wast the Vrtras' slayer; thou Helpest the warrior in the fray. 
9,We strengthen Satakratu thee yea thee the powerful in fight. 
10,To him the mighty stream of wealth prompt friend ot'him who pours the juice 
